image_link,image_name,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/61Am7goxaFL.jpg,61Am7goxaFL.jpg,178778,depth,3.9 centimetre
https://m.media-amazon.com/images/I/51R8AlSuVKL.jpg,51R8AlSuVKL.jpg,347320,depth,100.0 inch
https://m.media-amazon.com/images/I/51KghPIV6JL.jpg,51KghPIV6JL.jpg,826444,depth,90.0 millimetre
https://m.media-amazon.com/images/I/51gqMA7+K0L.jpg,51gqMA7+K0L.jpg,494658,depth,53.0 centimetre
https://m.media-amazon.com/images/I/51YDWb+0+mL.jpg,51YDWb+0+mL.jpg,861555,depth,217.0 millimetre
https://m.media-amazon.com/images/I/51544S1oCiL.jpg,51544S1oCiL.jpg,667819,depth,16.0 inch
https://m.media-amazon.com/images/I/51brSZcFF7L.jpg,51brSZcFF7L.jpg,675317,depth,1.18 inch
https://m.media-amazon.com/images/I/513bbFLNI+L.jpg,513bbFLNI+L.jpg,943839,depth,65.0 millimetre
https://m.media-amazon.com/images/I/51p84vAQK8L.jpg,51p84vAQK8L.jpg,108478,depth,25.0 centimetre
https://m.media-amazon.com/images/I/51bpjtgntZL.jpg,51bpjtgntZL.jpg,881883,depth,200.0 centimetre
https://m.media-amazon.com/images/I/610FJ8HRCnL.jpg,610FJ8HRCnL.jpg,549052,depth,25.5 centimetre
https://m.media-amazon.com/images/I/41KfWMKeN-L.jpg,41KfWMKeN-L.jpg,281210,depth,26.5 centimetre
https://m.media-amazon.com/images/I/615oTjEYB0L.jpg,615oTjEYB0L.jpg,755711,depth,30.0 millimetre
https://m.media-amazon.com/images/I/61F6wD4fPFL.jpg,61F6wD4fPFL.jpg,630869,depth,21.0 centimetre
https://m.media-amazon.com/images/I/513RMllK3sS.jpg,513RMllK3sS.jpg,675317,depth,1.4 inch
https://m.media-amazon.com/images/I/51mDgaBW3AL.jpg,51mDgaBW3AL.jpg,630869,depth,26.0 centimetre
https://m.media-amazon.com/images/I/51SL+qaaFoL.jpg,51SL+qaaFoL.jpg,784538,depth,19.0 inch
https://m.media-amazon.com/images/I/51-FPHxRNVL.jpg,51-FPHxRNVL.jpg,932012,depth,165.0 centimetre
https://m.media-amazon.com/images/I/61ARfalan2L.jpg,61ARfalan2L.jpg,507619,depth,44.0 centimetre
https://m.media-amazon.com/images/I/51mxkZNEE1L.jpg,51mxkZNEE1L.jpg,752266,depth,40.5 centimetre
https://m.media-amazon.com/images/I/51rLfBrj41L.jpg,51rLfBrj41L.jpg,462731,depth,15.3 centimetre
https://m.media-amazon.com/images/I/51K1dg-p1JL.jpg,51K1dg-p1JL.jpg,681045,depth,10.0 inch
https://m.media-amazon.com/images/I/614qKNpJERL.jpg,614qKNpJERL.jpg,764618,depth,16.0 centimetre
https://m.media-amazon.com/images/I/51Psausg0cL.jpg,51Psausg0cL.jpg,764618,depth,1.6 inch
https://m.media-amazon.com/images/I/514PZXfkndL.jpg,514PZXfkndL.jpg,302672,depth,10.0 centimetre
https://m.media-amazon.com/images/I/410cJXeoXXL.jpg,410cJXeoXXL.jpg,460806,depth,52.0 millimetre
https://m.media-amazon.com/images/I/61A8tKhJYOL.jpg,61A8tKhJYOL.jpg,939129,depth,81.0 centimetre
https://m.media-amazon.com/images/I/51ffwHgimDL.jpg,51ffwHgimDL.jpg,668667,depth,12.0 inch
https://m.media-amazon.com/images/I/51lx2BWnwCL.jpg,51lx2BWnwCL.jpg,101697,depth,20.0 centimetre
https://m.media-amazon.com/images/I/51gi3zObmdL.jpg,51gi3zObmdL.jpg,238051,depth,1700.0 millimetre
https://m.media-amazon.com/images/I/615mn4omBTL.jpg,615mn4omBTL.jpg,396159,depth,110.0 centimetre
https://m.media-amazon.com/images/I/513r0jKjomL.jpg,513r0jKjomL.jpg,460806,depth,67.0 millimetre
https://m.media-amazon.com/images/I/610E8H2PduL.jpg,610E8H2PduL.jpg,929719,depth,5.4 centimetre
https://m.media-amazon.com/images/I/618UHkIYfVL.jpg,618UHkIYfVL.jpg,437623,depth,86.0 millimetre
https://m.media-amazon.com/images/I/51UsX1po5AL.jpg,51UsX1po5AL.jpg,764618,depth,2.5 centimetre
https://m.media-amazon.com/images/I/514HdJuApGL.jpg,514HdJuApGL.jpg,894599,depth,7.5 inch
https://m.media-amazon.com/images/I/51ouIWzczDL.jpg,51ouIWzczDL.jpg,208023,depth,9.1 inch
https://m.media-amazon.com/images/I/51xfYe7JrdL.jpg,51xfYe7JrdL.jpg,220662,depth,10.5 centimetre
https://m.media-amazon.com/images/I/41ludF9qtlL.jpg,41ludF9qtlL.jpg,675317,depth,65.0 millimetre
https://m.media-amazon.com/images/I/51hCoj4WCYL.jpg,51hCoj4WCYL.jpg,693845,depth,74.0 centimetre
https://m.media-amazon.com/images/I/612C3zzoQ1L.jpg,612C3zzoQ1L.jpg,518578,depth,435.0 millimetre
https://m.media-amazon.com/images/I/51XHkroI3pL.jpg,51XHkroI3pL.jpg,995106,depth,9.0 inch
https://m.media-amazon.com/images/I/51v3GYx3eeL.jpg,51v3GYx3eeL.jpg,278696,depth,12.0 inch
https://m.media-amazon.com/images/I/61-FYJcz2iL.jpg,61-FYJcz2iL.jpg,573063,depth,6.0 inch
https://m.media-amazon.com/images/I/61+iPlST-xL.jpg,61+iPlST-xL.jpg,460806,depth,38.0 millimetre
https://m.media-amazon.com/images/I/51GzV0nG31L.jpg,51GzV0nG31L.jpg,675317,depth,132.0 millimetre
https://m.media-amazon.com/images/I/61FDpscOSfL.jpg,61FDpscOSfL.jpg,661582,depth,35.1 centimetre
https://m.media-amazon.com/images/I/614YBuEZIFL.jpg,614YBuEZIFL.jpg,653767,depth,45.0 centimetre
https://m.media-amazon.com/images/I/51nqY69f2JL.jpg,51nqY69f2JL.jpg,784538,depth,20.0 centimetre
https://m.media-amazon.com/images/I/415X8zA-VPL.jpg,415X8zA-VPL.jpg,758128,depth,600.0 centimetre
https://m.media-amazon.com/images/I/512ahPdiQ-L.jpg,512ahPdiQ-L.jpg,713791,depth,128.0 millimetre
https://m.media-amazon.com/images/I/51EpsPD4e4L.jpg,51EpsPD4e4L.jpg,944936,depth,4.4 inch
https://m.media-amazon.com/images/I/51Z96EJWM2L.jpg,51Z96EJWM2L.jpg,667819,depth,15.0 centimetre
https://m.media-amazon.com/images/I/6151JYNnFRL.jpg,6151JYNnFRL.jpg,982714,depth,205.0 millimetre
https://m.media-amazon.com/images/I/513lGLOqLhL.jpg,513lGLOqLhL.jpg,569206,depth,28.5 centimetre
https://m.media-amazon.com/images/I/51Af0d59moL.jpg,51Af0d59moL.jpg,922709,depth,200.0 millimetre
https://m.media-amazon.com/images/I/512NGfseGmL.jpg,512NGfseGmL.jpg,846116,depth,85.0 millimetre
https://m.media-amazon.com/images/I/611RmFwNKEL.jpg,611RmFwNKEL.jpg,208023,depth,15.0 centimetre
https://m.media-amazon.com/images/I/61DD27by3gL.jpg,61DD27by3gL.jpg,612552,depth,54.0 inch
https://m.media-amazon.com/images/I/41MJzSHRSQL.jpg,41MJzSHRSQL.jpg,916768,depth,9.5 centimetre
https://m.media-amazon.com/images/I/614AfQ9Y8eL.jpg,614AfQ9Y8eL.jpg,579652,depth,19.0 inch
https://m.media-amazon.com/images/I/51Q6x-eoobL.jpg,51Q6x-eoobL.jpg,630869,depth,50.0 millimetre
https://m.media-amazon.com/images/I/616mJOKMPiL.jpg,616mJOKMPiL.jpg,340151,depth,15.5 centimetre
https://m.media-amazon.com/images/I/51l0xpuctPL.jpg,51l0xpuctPL.jpg,487566,depth,75.0 inch
https://m.media-amazon.com/images/I/51bJ3dVdYFL.jpg,51bJ3dVdYFL.jpg,858439,depth,220.0 millimetre
https://m.media-amazon.com/images/I/51v11Y+Q3QL.jpg,51v11Y+Q3QL.jpg,966823,depth,3.0 inch
https://m.media-amazon.com/images/I/51dKyPsBJ-L.jpg,51dKyPsBJ-L.jpg,784538,depth,16.5 inch
https://m.media-amazon.com/images/I/51FCFXgSxOL.jpg,51FCFXgSxOL.jpg,752266,depth,7.9 inch
https://m.media-amazon.com/images/I/617lMuKgGTL.jpg,617lMuKgGTL.jpg,130202,depth,2.0 centimetre
https://m.media-amazon.com/images/I/41M131kGA1L.jpg,41M131kGA1L.jpg,675317,depth,2.24 inch
https://m.media-amazon.com/images/I/51klElrdl9L.jpg,51klElrdl9L.jpg,843434,depth,22.0 centimetre
https://m.media-amazon.com/images/I/413TzJzX-XL.jpg,413TzJzX-XL.jpg,675317,depth,1.97 inch
https://m.media-amazon.com/images/I/51SjjPbql9L.jpg,51SjjPbql9L.jpg,991868,depth,25.0 centimetre
https://m.media-amazon.com/images/I/61BypoGBksL.jpg,61BypoGBksL.jpg,156839,depth,32.0 centimetre
https://m.media-amazon.com/images/I/51p6Zm6fnDL.jpg,51p6Zm6fnDL.jpg,793731,depth,107.0 millimetre
https://m.media-amazon.com/images/I/611YWzl5EJL.jpg,611YWzl5EJL.jpg,752266,depth,78.0 centimetre
https://m.media-amazon.com/images/I/617r6+Ub6-L.jpg,617r6+Ub6-L.jpg,487566,depth,150.0 centimetre
https://m.media-amazon.com/images/I/51C8cb-Ef7L.jpg,51C8cb-Ef7L.jpg,130202,depth,3.0 inch
https://m.media-amazon.com/images/I/614RopCMfCL.jpg,614RopCMfCL.jpg,720553,depth,55.0 inch
https://m.media-amazon.com/images/I/6174rSipd5L.jpg,6174rSipd5L.jpg,916768,depth,10.9 centimetre
https://m.media-amazon.com/images/I/51b+Qp6s+PL.jpg,51b+Qp6s+PL.jpg,864320,depth,36.0 centimetre
https://m.media-amazon.com/images/I/41lVxVCr8OL.jpg,41lVxVCr8OL.jpg,943839,depth,53.0 millimetre
https://m.media-amazon.com/images/I/51B-sWuftWL.jpg,51B-sWuftWL.jpg,658003,depth,25.5 centimetre
https://m.media-amazon.com/images/I/51wKtdffJsL.jpg,51wKtdffJsL.jpg,185935,depth,4.92 inch
https://m.media-amazon.com/images/I/51DtyI06rIL.jpg,51DtyI06rIL.jpg,523195,depth,2.5 centimetre
https://m.media-amazon.com/images/I/51I+HGgP2DL.jpg,51I+HGgP2DL.jpg,514726,depth,30.0 inch
https://m.media-amazon.com/images/I/41Iem7vk-RL.jpg,41Iem7vk-RL.jpg,683885,depth,8.66 inch
https://m.media-amazon.com/images/I/61-p2adkcmL.jpg,61-p2adkcmL.jpg,180726,depth,8.0 millimetre
https://m.media-amazon.com/images/I/61DlIvdCFFL.jpg,61DlIvdCFFL.jpg,119607,depth,13.0 centimetre
https://m.media-amazon.com/images/I/51k1LnlV-5L.jpg,51k1LnlV-5L.jpg,849273,depth,7.5 inch
https://m.media-amazon.com/images/I/617X0hEZzYL.jpg,617X0hEZzYL.jpg,865020,depth,76.0 centimetre
https://m.media-amazon.com/images/I/51IMtFPhYaL.jpg,51IMtFPhYaL.jpg,751532,depth,190.5 centimetre
https://m.media-amazon.com/images/I/51OSeR2p6AL.jpg,51OSeR2p6AL.jpg,781426,depth,200.0 centimetre
https://m.media-amazon.com/images/I/61Fng2jKc7L.jpg,61Fng2jKc7L.jpg,641642,depth,3.0 metre
https://m.media-amazon.com/images/I/615OCrEMkcL.jpg,615OCrEMkcL.jpg,784538,depth,132.0 centimetre
https://m.media-amazon.com/images/I/61FPW-jIXJL.jpg,61FPW-jIXJL.jpg,675317,depth,38.0 millimetre
https://m.media-amazon.com/images/I/51sEfzb0E9L.jpg,51sEfzb0E9L.jpg,126471,depth,188.0 centimetre
https://m.media-amazon.com/images/I/61EfS7q3v2L.jpg,61EfS7q3v2L.jpg,119607,depth,17.7 inch
https://m.media-amazon.com/images/I/61BIe1lT80L.jpg,61BIe1lT80L.jpg,861555,depth,20.0 centimetre
https://m.media-amazon.com/images/I/617i5WDksRL.jpg,617i5WDksRL.jpg,347320,depth,66.0 centimetre
https://m.media-amazon.com/images/I/51sVa6qgr9L.jpg,51sVa6qgr9L.jpg,300630,depth,12.0 centimetre
https://m.media-amazon.com/images/I/61+9vtxdD5L.jpg,61+9vtxdD5L.jpg,623491,depth,3.0 centimetre
https://m.media-amazon.com/images/I/51EVghKiZpL.jpg,51EVghKiZpL.jpg,242256,depth,2.0 metre
https://m.media-amazon.com/images/I/51fOTTn1OBL.jpg,51fOTTn1OBL.jpg,675317,depth,15.0 centimetre
https://m.media-amazon.com/images/I/618JHtZ0RDL.jpg,618JHtZ0RDL.jpg,408581,depth,18.0 centimetre
https://m.media-amazon.com/images/I/617K5Exvn2L.jpg,617K5Exvn2L.jpg,750883,depth,25.0 millimetre
https://m.media-amazon.com/images/I/615ih5OJ5XL.jpg,615ih5OJ5XL.jpg,675317,depth,145.0 millimetre
https://m.media-amazon.com/images/I/61-T8NDxIXL.jpg,61-T8NDxIXL.jpg,847223,depth,4.37 inch
https://m.media-amazon.com/images/I/61DmExEu4vL.jpg,61DmExEu4vL.jpg,861555,depth,22.0 centimetre
https://m.media-amazon.com/images/I/61Af3RENj7L.jpg,61Af3RENj7L.jpg,449805,depth,190.0 centimetre
https://m.media-amazon.com/images/I/61DEJ0vD4+L.jpg,61DEJ0vD4+L.jpg,242256,depth,18.0 inch
https://m.media-amazon.com/images/I/51u0sWm6uWL.jpg,51u0sWm6uWL.jpg,358831,depth,114.0 centimetre
https://m.media-amazon.com/images/I/31PVFq9o8NL.jpg,31PVFq9o8NL.jpg,983812,depth,4.3 inch
https://m.media-amazon.com/images/I/61G1ZeArkZL.jpg,61G1ZeArkZL.jpg,340151,depth,10.0 inch
https://m.media-amazon.com/images/I/61E7vGG7taL.jpg,61E7vGG7taL.jpg,992107,depth,31.75 centimetre
https://m.media-amazon.com/images/I/61EibgejjwL.jpg,61EibgejjwL.jpg,487566,depth,120.0 centimetre
https://m.media-amazon.com/images/I/615szmmtuhL.jpg,615szmmtuhL.jpg,784538,depth,24.0 inch
https://m.media-amazon.com/images/I/611PKUwJBTL.jpg,611PKUwJBTL.jpg,150535,depth,18.0 centimetre
https://m.media-amazon.com/images/I/617jK6SmssL.jpg,617jK6SmssL.jpg,486636,depth,33.3 centimetre
https://m.media-amazon.com/images/I/51X7z-snndL.jpg,51X7z-snndL.jpg,658003,depth,13.0 inch
https://m.media-amazon.com/images/I/51yx-RG4r9L.jpg,51yx-RG4r9L.jpg,126471,depth,78.0 inch
https://m.media-amazon.com/images/I/51J5DXM0inL.jpg,51J5DXM0inL.jpg,667819,depth,7.0 inch
https://m.media-amazon.com/images/I/41A-xC42nPL.jpg,41A-xC42nPL.jpg,784538,depth,6.3 inch
https://m.media-amazon.com/images/I/61DjK8LOYCL.jpg,61DjK8LOYCL.jpg,675317,depth,1.38 inch
https://m.media-amazon.com/images/I/51U4jbNu3UL.jpg,51U4jbNu3UL.jpg,752266,depth,550.0 millimetre
https://m.media-amazon.com/images/I/617E6iSY7TL.jpg,617E6iSY7TL.jpg,558806,height,5.3 inch
